ts,is_in_multiple_lanes,is_in_juntion,prop_eval
0,False,False,True
1,False,False,True
2,False,False,True
3,False,False,True
4,False,False,True
5,False,False,True
6,False,False,True
7,False,False,True
8,False,False,True
9,True,True,True
10,True,True,True
11,True,True,True
12,True,True,True
13,True,True,True
14,True,True,True
15,True,True,True
16,True,True,True
17,True,True,True
18,True,True,True
19,True,True,True
20,True,True,True
21,True,True,True
22,True,True,True
23,True,True,True
24,True,True,True
25,True,True,True
26,True,True,True
27,True,False,True
28,True,False,True
29,True,False,True
30,True,False,True
31,False,False,True
32,False,False,True
33,False,False,True
34,False,False,True
35,False,False,True
36,False,False,True
37,False,False,True
38,False,False,True
39,False,False,True
40,False,False,True
41,False,False,True
42,False,False,True
43,False,False,True
44,True,False,True
45,True,False,True
46,True,False,True
47,True,False,True
48,True,False,True
49,True,False,True
50,True,False,True
51,True,False,True
52,False,False,True
53,False,False,True
54,False,False,True
55,False,False,True
56,False,False,True
57,False,False,True
58,False,False,True
59,False,False,True
60,False,False,True
61,False,False,True
62,False,False,True
63,False,False,True
64,False,False,True
65,False,False,True
66,False,False,True
67,False,False,True
68,False,False,True
69,False,False,True
70,False,False,True
71,False,False,True
72,False,False,True
73,False,False,True
74,False,False,True
75,False,False,True
76,False,False,True
77,False,False,True
78,False,False,True
79,False,False,True
80,False,False,True
81,False,False,True
82,False,False,True
83,False,False,True
84,False,False,True
85,False,False,True
86,False,False,True
87,False,False,True
88,False,False,True
89,False,False,True
90,False,False,True
91,False,False,True
92,False,False,True
93,False,False,True
94,False,False,True
95,False,False,True
96,False,False,True
97,False,False,True
98,False,False,True
99,False,False,True
100,False,False,True
101,False,False,True
102,False,False,True
103,False,False,True
104,False,False,True
105,False,False,True
106,False,False,True
107,False,False,True
108,False,False,True
109,False,False,True
110,False,False,True
111,False,False,True
112,False,False,True
113,False,False,True
114,False,False,True
115,False,False,True
116,False,False,True
117,False,False,True
118,False,False,True
119,False,False,True
120,False,False,True
121,False,False,True
122,False,False,True
123,False,False,True
124,False,False,True
125,False,False,True
126,False,False,True
127,False,False,True
128,False,False,True
129,False,False,True
130,False,False,True
131,False,False,True
132,False,False,True
133,False,False,True
134,False,False,True
135,False,False,True
136,False,False,True
137,False,False,True
138,False,False,True
139,False,False,True
140,False,False,True
141,False,False,True
142,False,False,True
143,False,False,True
144,False,False,True
145,False,False,True
146,False,False,True
147,False,False,True
148,False,False,True
149,False,False,True
150,False,False,True
151,False,False,True
152,False,False,True
153,False,False,True
154,False,False,True
155,False,False,True
156,False,False,True
157,False,False,True
158,False,False,True
159,False,False,True
160,False,False,True
161,False,False,True
162,False,False,True
163,False,False,True
164,False,False,True
165,False,False,True
166,False,False,True
167,False,False,True
168,False,False,True
169,False,False,True
170,False,False,True
171,False,False,True
172,False,False,True
173,False,False,True
174,False,False,True
175,False,False,True
176,False,False,True
177,False,False,True
178,False,False,True
179,False,False,True
180,False,False,True
181,False,False,True
182,False,False,True
183,False,False,True
184,False,False,True
185,False,False,True
186,False,False,True
187,False,False,True
188,False,False,True
189,False,False,True
190,False,False,True
191,False,False,True
192,False,False,True
193,False,False,True
194,False,False,True
195,False,False,True
196,False,False,True
197,False,False,True
198,False,False,True
199,False,False,True
200,False,False,True
201,False,False,True
202,False,False,True
203,False,False,True
204,False,False,True
205,False,False,True
206,False,False,True
207,False,False,True
208,False,False,True
209,False,False,True
210,False,False,True
211,False,False,True
212,False,False,True
213,False,False,True
214,False,False,True
215,False,False,True
216,False,False,True
217,False,False,True
218,False,False,True
219,False,False,True
220,False,False,True
221,False,False,True
222,False,False,True
223,False,False,True
224,False,False,True
225,False,False,True
226,False,False,True
227,False,False,True
228,False,False,True
229,False,False,True
230,False,False,True
231,False,False,True
232,False,False,True
233,False,False,True
234,False,False,True
235,False,False,True
236,False,False,True
237,False,False,True
238,False,False,True
239,False,False,True
240,False,False,True
241,False,False,True
242,False,False,True
243,False,False,True
244,False,False,True
245,False,False,True
246,False,False,True
247,False,False,True
248,False,False,True
249,False,False,True
250,False,False,True
251,False,False,True
252,False,False,True
253,False,False,True
254,False,False,True
255,False,False,True
256,False,False,True
257,False,False,True
258,False,False,True
259,False,False,True
